"input";"filtered";"denoisedF";"denoisedR";"merged";"nonchim"
"A1";13;8;5;6;5;5
"A2";57;42;40;34;27;27
"A3";24;15;11;10;9;9
"A4";163;139;135;129;129;129
"A5";2;1;1;1;1;1
"A6";65;29;27;27;19;19
"A7";196;166;166;166;130;130
"B1";6957;5141;5121;5080;5034;5032
"B2";6323;4899;4887;4841;4801;4799
"B3";10923;8678;8645;8394;8269;8269
"B4";1522866;1443927;1440544;1434734;1396479;1390545
"B5";2184;1509;1497;1475;1418;1418
"B6";5566;3522;3495;3174;2042;2042
"B7";1141145;1034670;1033466;1031249;978990;977184
"C1";5083;3834;3784;3759;3577;3576
"C2";7221;5401;5376;5362;5261;5253
"C3";5983;4422;4393;4245;3953;3951
"C4";16802;13876;13857;11865;6091;6091
"C5";744;537;522;530;519;519
"C6";2206;1479;1470;1439;1105;1105
"C7";805618;731353;731022;729085;695436;694955
"D1";5617;4323;4308;4275;4186;4134
"D2";5268;4089;4056;4058;3884;3868
"D3";7133;5306;5289;5033;4970;4967
"D4";13472;11094;11051;10288;8019;8019
"D5";3023;2270;2259;2233;2231;2231
"D6";2590;1689;1675;1607;1158;1158
"D7";1137321;1029386;1026820;1026112;975321;971469
"E1";6800;5133;5096;5031;4753;4747
"E2";5382;4337;4322;4293;4151;4145
"E3";7030;5316;5279;5157;5110;5100
"E4";773316;733776;733107;731773;715831;715298
"E5";2162;1639;1609;1480;1445;1445
"E6";2030;1107;1095;971;466;466
"E7";954969;850080;848599;845015;807648;802006
"F1";5600;4169;4134;4116;4009;4006
"F2";5190;4061;4034;3983;3937;3933
"F3";5563;4076;4059;3965;3876;3875
"F4";2572;1690;1676;1587;1581;1581
"F5";2304;1789;1782;1733;1727;1727
"F6";77;23;10;1;0;0
"G1";7291;5712;5679;5622;5286;5247
"G2";5812;4629;4597;4545;4511;4511
"G3";8247;6528;6480;6478;6389;6381
"G4";1095917;1049818;1048190;1046987;1028066;1025565
"G5";1479;1167;1143;1106;1066;1066
"G6";1694;1076;1043;878;556;556
"H1";4697;3492;3456;3422;3296;3287
"H2";4840;3767;3750;3718;3699;3697
"H3";11414;8443;8413;8331;8113;8105
"H4";1341860;1257887;1254122;1254816;1218627;1212732
"H5";2104;1547;1523;1488;1449;1449
"H6";879982;655032;652532;652569;649320;648728
"I1";4829;3725;3684;3659;3605;3603
"I2";5110;4043;4013;4019;3946;3893
"I3";7062;5050;5013;5019;4959;4955
"I4";2889;2013;1991;1965;1902;1902
"I5";3074;2598;2553;2584;2541;2541
"I6";916;756;738;709;703;703
"J1";6925;5442;5356;5389;5210;5207
"J2";8225;6637;6517;6590;6416;6392
"J3";5006;4014;3957;3823;3495;3495
"J4";9560;7417;7399;6934;5430;5268
"J5";30;14;11;10;10;10
"J6";1121889;1027793;1026516;1026482;974303;963254
"K1";5850;4350;4321;4268;4200;4174
"K2";7481;5866;5848;5815;5731;5730
"K3";1341532;1278497;1276282;1276401;1248785;1244263
"K4";32452;29044;28979;28443;26811;26811
"K5";106;74;61;54;48;48
"K6";911144;833645;832207;831922;793680;791570
"L1";5920;4457;4436;4348;4270;4269
"L2";6603;5361;5307;5331;5183;5183
"L3";2691;2282;2239;2157;2061;2051
"L4";7509;5958;5943;5514;4622;4622
"L5";2472;2364;2356;2345;2335;2335
"L6";660695;616627;615718;615135;595357;591433
"Undetermined";3626533;1308953;1290881;1260123;671728;653438
