"input";"filtered";"denoisedF";"denoisedR";"merged";"nonchim"
"S100";83215;80906;80693;80667;80480;80480
"S101";17538;16510;16496;16427;16373;16371
"S102";4575;4452;4447;4439;4420;4420
"S103";82811;79199;79021;78901;78166;77957
"S104";68117;66696;66662;66549;66506;66506
"S105";79292;77519;77480;77329;77270;77266
"S106";49864;48786;48772;48687;48678;48678
"S107";77627;75734;75681;75519;75470;75466
"S108";74222;72955;72922;72790;72744;72744
"S109";80508;78689;78656;78496;78452;78452
"S110";72977;71608;71570;71462;71430;71430
"S111";15759;14418;14404;14368;14361;14356
"S112";61933;56947;56890;56734;51642;51522
"S113";23148;21455;21362;21345;20915;20237
"S18";5845;5690;5688;5677;5675;5675
"S19";68289;66270;66194;66093;65985;65692
"S20";57808;56325;56265;56204;56134;56017
"S21";68644;65380;65300;65190;65020;64087
"S22";53216;50372;50336;50238;50099;47770
"S23";61777;59834;59778;59652;59511;58984
"S24";62769;61098;61037;60977;60893;60737
"S25";64920;63494;63459;63355;63310;63308
"S26";7036;6880;6861;6853;6837;6837
"S27";63244;59617;59541;59483;59333;58884
"S28";5810;5720;5713;5705;5696;5696
"S29";6910;5798;5793;5743;5724;5724
"S30";53554;51041;51001;50863;50789;50415
"S31";56103;53475;53448;53351;53285;53182
"S32";20748;19927;19880;19848;19771;19724
"S33";57375;55347;55302;55182;55120;54791
"S34";16213;15766;15755;15729;15706;15706
"S35";21510;20799;20779;20756;20628;20628
"S36";59166;57273;57188;57117;56992;56421
"S37";33157;31897;31831;31777;31531;30905
"S38";71619;70075;70001;69881;69728;69334
"S39";59689;57953;57891;57792;57540;57144
"S40";82270;79860;79770;79646;79076;78644
"S41";10865;9071;9056;8987;8640;8640
"S42";5454;5290;5282;5271;5267;5267
"S43";20230;19137;19090;19042;18921;18921
"S44";19884;18039;17903;17965;17833;17833
"S45";32460;31409;31383;31303;31162;31075
"S46";19807;14704;14594;14501;14162;14162
"S47";25754;20706;20643;20527;20328;20322
"S48";76449;74980;74915;74850;74788;74782
"S49";46163;45092;45046;45001;44921;44921
"S50";37708;36958;36924;36839;36805;36805
"S51";83115;81332;81293;81139;81088;81083
"S52";35066;34011;33960;33860;33788;33788
"S53";14403;12008;11955;11820;11576;11576
"S54";563;551;547;551;547;547
"S55";70144;68488;68443;68333;68281;68281
"S56";55039;53723;53679;53595;53555;53555
"S57";69405;67850;67571;67680;67336;67336
"S58";54997;53355;53309;53213;52851;52845
"S59";51968;50402;50373;50234;50092;50092
"S60";61581;60267;60127;60116;59958;59958
"S61";71197;69414;69331;69232;69171;69169
"S62";18323;17272;17254;17138;17101;17101
"S63";75101;73487;73422;73319;73230;73230
"S64";72380;70604;70557;70418;70344;70344
"S65";18681;17080;17061;16924;16915;16864
"S66";621;608;603;600;600;600
"S67";5305;3982;3970;3934;3900;3900
"S68";20201;19627;19587;19554;19474;19471
"S69";11555;10828;10812;10747;10078;10077
"S70";6665;5597;5575;5537;5497;5494
"S71";13549;12439;12420;12352;12333;12223
"S72";6638;6301;6258;6272;6241;6241
"S73";15674;15019;15001;14956;14833;14833
"S74";15372;14672;14631;14612;14578;13927
"S75";19905;18550;18518;18449;18352;18317
"S76";23964;22366;22287;22229;21639;21639
"S77";18582;16308;16289;16050;16043;16043
"S78";523;518;516;516;516;516
"S79";84337;82420;82386;82228;82200;82198
"S80";69229;67709;67658;67547;67495;67495
"S81";6497;5925;5858;5877;5796;5796
"S82";11078;10066;10046;9959;9694;9692
"S83";65507;63809;63776;63604;63558;63558
"S84";77683;76188;76166;76035;76018;76018
"S85";59234;57817;57774;57639;57608;57608
"S86";81847;80205;80150;79843;79797;79795
"S87";91224;89226;89194;89037;89003;89000
"S88";82547;80514;80330;80210;79963;79963
"S89";16308;14858;14850;14773;14759;14759
"S90";30;22;17;17;17;17
"S91";15848;13853;13809;13788;13483;13475
"S92";12922;12026;12002;11943;11809;11809
"S93";25859;24303;24216;24051;23846;23846
"S94";72156;70195;70038;69998;69801;69801
"S95";12640;10998;10968;10831;10706;10706
"S96";25502;23838;23796;23669;23104;23104
"S97";18329;17562;17545;17502;17372;17370
"S98";17686;16419;16384;16356;16266;16266
"S99";67744;65453;65396;65243;64357;63863
"Undetermined";2694877;182994;176240;170578;155189;154781
